DATASET;INSTITUTION_NAME;INSTITUTION_CODE;COLLECTION_CODE;CATALOG_NUMBER;REG_ID;SPECIES_NAME;INSTITUTION_CODE_1;LATITUDE;LONGITUDE;GEO_PRECISION_LEVEL;GEOREFERENCING_COMMENTS;REGISTERED_BY;SACC;YEAR;MONTH;DAY;ORIGINAL_DATE;COUNTRY;DEPARTMENT;MUNICIPALITY;STANDARDIZD_LOCALITY;ORIGINAL_LOCALITY;ORIGINAL_ELEVATION;COMMENTS ON ID;MIGRATORY;RECORD_ID;SEX
Biomap;Colegio San Jose;CSJ;;247;582243;Anas discors;CSJ;6235658333;-7557518333;5;La informacion acerca de la localidad es muy general, por lo que se establecen coordenadas en la cabecera de Medellin;Hno. Nicéforo, M.;84;1918;6;16;6/16/1918;Colombia;Antioquia;Medellín;Medellín;Medellin, area;Unknown;;1;-;Female
Biomap;Instituto de Ciencias Naturales;ICN;Aves;248;392275;Egretta caerulea;ICN;9887181;-7328181;3;La coordenada corresponde a un punto en la hacienda, ajustado por elevación (100 msnm);Carriker, M.A.;316;1942;7;27;7/27/1942;Colombia;Cesar;Agustín Codazzi;La Esperanza hacienda, 12 mi SW Agustín Codazzi (100m);La Esperanza, Hacienda;100;;1;ICN-248;Male
Aves Colombia [310112];Instituto de Ciencias Naturales;ICN;Aves;249;392388;Egretta caerulea;ICN;11227466;-74174858;4;Coordenada corresponde a Mamatoco en Santa Marta;Carriker, M. A.;316;1945;12;13;12/13/1945;Colombia;Magdalena;Santa Marta;Mamatoco;MAMATOCO;0;;1;ICN-249;
Biomap;Instituto de Ciencias Naturales;ICN;Aves;285;338261;Butorides virescens;ICN;8575321;-7399609;3;Norosí, municipio creado en diciembre de 2007 separado del municipio de Rioviejo (120m);Carriker, M.A.;300;1947;3;4;3/04/1947;Colombia;Bolívar;Norosí;Norosi (120m);Norosi, area;120;;1;ICN-285;Female
Biomap;Instituto de Ciencias Naturales;ICN;;288;589165;Butorides virescens;ICN;8189078;-733173;3;Coordenadas dentro del municipio de Ocaña ajustadas a elevación registrada, cerca a El Rincón y a Quebrada Seca.;Carriker, M.A.;300;1946;11;8;11/08/1946;Colombia;Norte de Santander;Ocaña;Ocaña (1275m);Ocaña, area;1275;;1;-;Female
Biomap;Universidad de la Salle;US;;314;588785;Buteo swainsoni;US;4063195;-74696894;3;Coordenada corregida por localidad y altura;Unknown;393;1917;12;1;12/01/1917;Colombia;Tolima;Cunday;Cunday;Cunday, area;Unknown;;1;-;Female
Biomap;Universidad de la Salle;US;;320;588766;Buteo platypterus;US;4630353;-74456215;3;La coordenada corresponde a la cabecera municipal.;Unknown;390;1918;12;17;12/17/1918;Colombia;Cundinamarca;La Mesa;La Mesa (1300m) ;La Mesa, area;Unknown;;1;-;Unknown
Biomap;Colegio San Jose;CSJ;;338;613261;Gallinago delicata;CSJ;6235658333;-7557518333;5;La informacion acerca de la localidad es muy general, por lo que se establecen coordenadas en la cabecera de Medellin;Hno. Nicéforo, M.;509;1917;1;1;1/01/1917;Colombia;Antioquia;Medellín;Medellín;Medellin, area;Unknown;;1;-;Unknown
Biomap;Universidad de la Salle;US;;486;611558;Falco columbarius;US;469369;-742745;4;Se mantienen las coordenadas en la laguna.  ;Unknown;1270;1914;12;1;12/01/1914;Colombia;Cundinamarca;Mosquera;La Herrera laguna de;La Herrera, laguna de;Unknown;;1;-;Female
Biomap;Universidad de la Salle;US;;487;611556;Falco columbarius;US;;;8;Catalogo menciona solamente sabana de Bogota como localidad;Unknown;1270;1915;1;1;1/01/1915;Colombia;Cundinamarca;;Bogotá sabana de;Bogota, sabana de;Unknown;;1;-;Male
Biomap;Colegio San Jose;CSJ;;527;591826;Catharus ustulatus;CSJ;6217062;-75566476;5;Coordenadas corresponden a un punto sobre el barrio El Poblado;Hno. Nicéforo, M.;2710;1915;11;1;11/01/1915;Colombia;Antioquia;Medellín;El Poblado barrio;El Poblado, area;Unknown;KEN;1;-;Unknown
Biomap;Colegio San Jose;CSJ;;537;644997;Setophaga ruticilla;CSJ;6235658333;-7557518333;5;La informacion acerca de la localidad es muy general, por lo que se establecen coordenadas en la cabecera de Medellin;Hno. Nicéforo, M.;3219;1915;1;1;1/01/1915;Colombia;Antioquia;Medellín;Medellín;Medellin, area;Unknown;;1;-;Female
Biomap;Colegio San Jose;CSJ;;541;644995;Setophaga ruticilla;CSJ;6235658333;-7557518333;5;La informacion acerca de la localidad es muy general, por lo que se establecen coordenadas en la cabecera de Medellin;Hno. Nicéforo, M.;3219;1914;1;1;1/01/1914;Colombia;Antioquia;Medellín;Medellín;Medellin, area;Unknown;;1;-;Male
Biomap;Colegio San Jose;CSJ;;671;644776;Parkesia noveboracensis;CSJ;616837;-7558572;5;Coordenadas dentro de los límites de la cabecera municipal de Envigado. ;Hno. Nicéforo, M.;3205;1913;12;1;12/01/1913;Colombia;Antioquia;Envigado;Envigado;Envigado, area;Unknown;;1;-;Unknown
Biomap;Colegio San Jose;CSJ;;674;661297;Cardellina canadensis;CSJ;57833;-757833;5;Coordenadas corresponden a la cabecera municipal de Jericó;Hno. Nicéforo, M.;3258;1917;12;1;12/01/1917;Colombia;Antioquia;Jericó;Jericó;Jerico, area;Unknown;KEN;1;-;Unknown
Biomap;Colegio San Jose;CSJ;;676;604823;Setophaga petechia;CSJ;6235658333;-7557518333;5;La informacion acerca de la localidad es muy general, por lo que se establecen coordenadas en la cabecera de Medellin;Hno. Nicéforo, M.;3227;1918;12;1;12/01/1918;Colombia;Antioquia;Medellín;Medellín;Medellin, area;Unknown;;1;-;Unknown
Biomap;Colegio San Jose;CSJ;;707;635056;Pheucticus ludovicianus;CSJ;6038699;-75438766;5;Coordenadas corresponden a la cabecera municipal de La Ceja;Hno. Nicéforo, M.;3188;1915;3;1;3/01/1915;Colombia;Antioquia;La Ceja;La Ceja ;La Ceja, area;Unknown;;1;-;Unknown
Biomap;Instituto de Ciencias Naturales;ICN;Aves;735;395999;Elanoides forficatus;ICN;7966374;-74113745;3;Coordenada asignada a la localidad Volador (800m);Carriker, M.A.;342;1947;5;6;5/06/1947;Colombia;Bolívar;Santa Rosa del Sur;Volador (800m);Volador, area;800;;1;ICN-735;Male
Biomap;Universidad de la Salle;US;;740;638641;Pluvialis dominica;US;473333333;-7426666667;5;Coordenada corresponde al centro poblado;Unknown;451;1917;10;1;10/01/1917;Colombia;Cundinamarca;Madrid;Madrid;Madrid, area;Unknown;;1;-;Unknown
Biomap;Universidad de la Salle;US;;755;656693;Tringa flavipes;US;6235658333;-7557518333;5;La informacion acerca de la localidad es muy general, por lo que se establecen coordenadas en la cabecera de Medellin;Hno. Nicéforo, M.;521;1917;10;2;10/02/1917;Colombia;Antioquia;Medellín;Medellín;Medellin, area;Unknown;;1;-;Unknown
Biomap;Universidad de la Salle;US;;758;656706;Tringa melanoleuca;US;735;-7265;Pendiente;;Unknown;519;1917;10;1;10/01/1917;Colombia;Norte de Santander;Pamplona;Fontibón páramo de;Fontibon, paramo de;Unknown;;1;-;Unknown
Aves Colombia [310112];Cornell University Museum of Vertebrates;CUMV;CUMV-Bird;1014;681985;Buteo platypterus;CUMV;3898787;-75560522;5;Datos incompletos, se define coordenada por altura y casco urbano;;390;1911;4;3;4/03/1911;Colombia;Tolima;San Antonio;San Antonio;San Antonio, elevation 6600 feet;;;1;-;
Biomap;Zoologische Staatssammlung;ZSM;;19095609;349443;Catharus ustulatus;ZSM;4954506;-76605833;5;Coordenadas corresponden a la cabecera municipal de Nóvita;Palmer, M.G.;2710;1908;11;17;11/17/1908;Colombia;Chocó;Nóvita;Nóvita;Novita, area;100;KEN;1;ZSM-1909,5609;Female
Biomap;Zoologische Staatssammlung;ZSM;;19095624;521920;Setophaga ruticilla;ZSM;4954506;-76605833;5;Coordenadas corresponden a la cabecera municipal de Nóvita;Palmer, M.G.;3219;1908;12;11;12/11/1908;Colombia;Chocó;Nóvita;Nóvita;Novita, area;100;;1;ZSM-1909,5624;Male
Biomap;Zoologische Staatssammlung;ZSM;;19095625;385390;Setophaga petechia;ZSM;5070248;-76642198;5;Coordenadas corresponden a cabecera municipal de Condoto;Palmer, M.G.;3227;1909;4;12;4/12/1909;Colombia;Chocó;Condoto;Condoto;Condoto, area;70;;1;ZSM-1909,5625;Male
Biomap;Zoologische Staatssammlung;ZSM;;19095626;385414;Setophaga petechia;ZSM;4645274;-76601145;4;Coordenadas corresponden a punto medio del Río Sipi;Palmer, M.G.;3227;1908;9;30;9/30/1908;Colombia;Chocó;Sipí;Sipi Río;Sipi, rio;0;;1;ZSM-1909,5626;Male
Biomap;Zoologische Staatssammlung;ZSM;;19095627;385499;Setophaga castanea;ZSM;4954506;-76605833;5;Coordenadas corresponden a la cabecera municipal de Nóvita;Palmer, M.G.;3225;1908;12;9;12/09/1908;Colombia;Chocó;Nóvita;Nóvita;Novita, area;100;;1;ZSM-1909,5627;Male
Biomap;Zoologische Staatssammlung;ZSM;;19095628;385498;Setophaga castanea;ZSM;4954506;-76605833;5;Coordenadas corresponden a la cabecera municipal de Nóvita;Palmer, M.G.;3225;1908;11;20;11/20/1908;Colombia;Chocó;Nóvita;Nóvita;Novita, area;100;;1;ZSM-1909,5628;Male
Biomap;Zoologische Staatssammlung;ZSM;;19095629;385497;Setophaga castanea;ZSM;4954506;-76605833;5;Coordenadas corresponden a la cabecera municipal de Nóvita;Palmer, M.G.;3225;1908;11;24;11/24/1908;Colombia;Chocó;Nóvita;Nóvita;Novita, area;100;;1;ZSM-1909,5629;Male
Biomap;Zoologische Staatssammlung;ZSM;;19095661;500772;Progne chalybea;ZSM;4954506;-76605833;5;Coordenadas corresponden a la cabecera municipal de Nóvita;Palmer, M.G.;2627;1908;12;1;12/01/1908;Colombia;Chocó;Nóvita;Nóvita;Novita, area;100;;1;ZSM-1909,5661;Male
Biomap;Zoologische Staatssammlung;ZSM;;19095662;500771;Progne chalybea;ZSM;4954506;-76605833;5;Coordenadas corresponden a la cabecera municipal de Nóvita;Palmer, M.G.;2627;1908;11;30;11/30/1908;Colombia;Chocó;Nóvita;Nóvita;Novita, area;100;;1;ZSM-1909,5662;Male
Biomap;Zoologische Staatssammlung;ZSM;;19095705;454174;Myiarchus crinitus;ZSM;4690022;-76929777;4;Coordenadas corresponden al corregimiento de Noanama;Palmer, M.G.;2418;1909;1;13;1/13/1909;Colombia;Chocó;Medio San Juan (Andagoya);Noanama;Noanama, area;53;;1;ZSM-1909,5705;Male
Biomap;Zoologische Staatssammlung;ZSM;;19095706;454176;Myiarchus crinitus;ZSM;4954506;-76605833;5;Coordenadas corresponden a la cabecera municipal de Nóvita;Palmer, M.G.;2418;1908;12;21;12/21/1908;Colombia;Chocó;Nóvita;Nóvita;Novita, area;100;;1;ZSM-1909,5706;Male
Biomap;Zoologische Staatssammlung;ZSM;;19095707;454177;Myiarchus crinitus;ZSM;4954506;-76605833;5;Coordenadas corresponden a la cabecera municipal de Nóvita;Palmer, M.G.;2418;1908;12;17;12/17/1908;Colombia;Chocó;Nóvita;Nóvita;Novita, area;100;;1;ZSM-1909,5707;Male
Biomap;Zoologische Staatssammlung;ZSM;;19095708;454178;Myiarchus crinitus;ZSM;4954506;-76605833;5;Coordenadas corresponden a la cabecera municipal de Nóvita;Palmer, M.G.;2418;1908;12;12;12/12/1908;Colombia;Chocó;Nóvita;Nóvita;Novita, area;100;;1;ZSM-1909,5708;Female
Biomap;Zoologische Staatssammlung;ZSM;;19095896;385381;Setophaga petechia;ZSM;4751619;-76859017;4;Coordenada corresponde a la desembocadura del Río Cajón en el Río San Juan, en Istmina;Palmer, M.G.;3227;1908;10;30;10/30/1908;Colombia;Chocó;Istmina;Cajón Río;Cajon, rio;0;;1;ZSM-1909,5896;Male
Biomap;Zoologische Staatssammlung;ZSM;;19095897;385404;Setophaga petechia;ZSM;4690022;-76929777;4;Coordenadas corresponden al corregimiento de Noanama;Palmer, M.G.;3227;1908;10;22;10/22/1908;Colombia;Chocó;Medio San Juan (Andagoya);Noanama;Noanama, area;53;;1;ZSM-1909,5897;Male
Biomap;Zoologische Staatssammlung;ZSM;;19095898;385405;Setophaga petechia;ZSM;4690022;-76929777;4;Coordenadas corresponden al corregimiento de Noanama;Palmer, M.G.;3227;1908;10;20;10/20/1908;Colombia;Chocó;Medio San Juan (Andagoya);Noanama;Noanama, area;53;;1;ZSM-1909,5898;Male
Biomap;Zoologische Staatssammlung;ZSM;;19095899;385406;Setophaga petechia;ZSM;4690022;-76929777;4;Coordenadas corresponden al corregimiento de Noanama;Palmer, M.G.;3227;1908;10;20;10/20/1908;Colombia;Chocó;Medio San Juan (Andagoya);Noanama;Noanama, area;53;;1;ZSM-1909,5899;Male
Biomap;Zoologische Staatssammlung;ZSM;;190959;385382;Setophaga petechia;ZSM;4751619;-76859017;4;Coordenada corresponde a la desembocadura del Río Cajón en el Río San Juan, en Istmina;Palmer, M.G.;3227;1908;10;30;10/30/1908;Colombia;Chocó;Istmina;Cajón Río;Cajon, rio;0;;1;ZSM-1909,59;Female
Biomap;Zoologische Staatssammlung;ZSM;;19095901;385407;Setophaga petechia;ZSM;4954506;-76605833;5;Coordenadas corresponden a la cabecera municipal de Nóvita;Palmer, M.G.;3227;1908;11;9;11/09/1908;Colombia;Chocó;Nóvita;Nóvita;Novita, area;100;;1;ZSM-1909,5901;Female
Biomap;Zoologische Staatssammlung;ZSM;;19095902;385408;Setophaga petechia;ZSM;4954506;-76605833;5;Coordenadas corresponden a la cabecera municipal de Nóvita;Palmer, M.G.;3227;1908;12;2;12/02/1908;Colombia;Chocó;Nóvita;Nóvita;Novita, area;100;;1;ZSM-1909,5902;Female
Biomap;Zoologische Staatssammlung;ZSM;;19095911;389543;Dolichonyx oryzivorus;ZSM;4954506;-76605833;5;Coordenadas corresponden a la cabecera municipal de Nóvita;Palmer, M.G.;3328;1908;12;23;12/23/1908;Colombia;Chocó;Nóvita;Nóvita;Novita, area;100;;V;ZSM-1909,5911;Male
Biomap;Zoologische Staatssammlung;ZSM;;19095912;389544;Dolichonyx oryzivorus;ZSM;4954506;-76605833;5;Coordenadas corresponden a la cabecera municipal de Nóvita;Palmer, M.G.;3328;1908;12;18;12/18/1908;Colombia;Chocó;Nóvita;Nóvita;Novita, area;100;;V;ZSM-1909,5912;Female
Biomap;Zoologische Staatssammlung;ZSM;;19095997;476790;Pandion haliaetus;ZSM;4954506;-76605833;5;Coordenadas corresponden a la cabecera municipal de Nóvita;Palmer, M.G.;336;1908;12;2;12/02/1908;Colombia;Chocó;Nóvita;Nóvita;Novita, area;100;;1;ZSM-1909,5997;Female
Biomap;Zoologische Staatssammlung;ZSM;;19096001;339635;Calidris alba;ZSM;4690022;-76929777;4;Coordenadas corresponden al corregimiento de Noanama;Palmer, M.G.;493;1908;9;4;9/04/1908;Colombia;Chocó;Medio San Juan (Andagoya);Noanama;Noanama, area;53;;1;ZSM-1909,6001;Male
Biomap;Zoologische Staatssammlung;ZSM;;19096002;339638;Calidris alba;ZSM;4690022;-76929777;4;Coordenadas corresponden al corregimiento de Noanama;Palmer, M.G.;493;1908;9;2;9/02/1908;Colombia;Chocó;Medio San Juan (Andagoya);Noanama;Noanama, area;53;;1;ZSM-1909,6002;Female
Biomap;Zoologische Staatssammlung;ZSM;;19096003;339636;Calidris alba;ZSM;4690022;-76929777;4;Coordenadas corresponden al corregimiento de Noanama;Palmer, M.G.;493;1908;9;4;9/04/1908;Colombia;Chocó;Medio San Juan (Andagoya);Noanama;Noanama, area;53;;1;ZSM-1909,6003;Male
Biomap;Zoologische Staatssammlung;ZSM;;19096004;339637;Calidris alba;ZSM;4690022;-76929777;4;Coordenadas corresponden al corregimiento de Noanama;Palmer, M.G.;493;1908;9;4;9/04/1908;Colombia;Chocó;Medio San Juan (Andagoya);Noanama;Noanama, area;53;;1;ZSM-1909,6004;Unknown
Biomap;Zoologische Staatssammlung;ZSM;;19096005;339634;Calidris alba;ZSM;4690022;-76929777;4;Coordenadas corresponden al corregimiento de Noanama;Palmer, M.G.;493;1908;8;29;8/29/1908;Colombia;Chocó;Medio San Juan (Andagoya);Noanama;Noanama, area;53;;1;ZSM-1909,6005;Unknown
Biomap;Zoologische Staatssammlung;ZSM;;19096006;557535;Tringa solitaria;ZSM;4690022;-76929777;4;Coordenadas corresponden al corregimiento de Noanama;Palmer, M.G.;517;1909;1;11;1/11/1909;Colombia;Chocó;Medio San Juan (Andagoya);Noanama;Noanama, area;53;;1;ZSM-1909,6006;Unknown
Biomap;Zoologische Staatssammlung;ZSM;;19096007;353552;Charadrius vociferus;ZSM;4954506;-76605833;5;Coordenadas corresponden a la cabecera municipal de Nóvita;Palmer, M.G.;461;1908;12;13;12/13/1908;Colombia;Chocó;Nóvita;Nóvita;Novita, area;100;;1;ZSM-1909,6007;Male
Biomap;Zoologische Staatssammlung;ZSM;;19096008;339728;Calidris bairdii;ZSM;4645274;-76601145;4;Coordenadas corresponden a punto medio del Río Sipi;Palmer, M.G.;495;1908;10;2;10/02/1908;Colombia;Chocó;Sipí;Sipi Río;Sipi, rio;0;;1;ZSM-1909,6008;Female
Biomap;Zoologische Staatssammlung;ZSM;;19096009;339924;Calidris melanotos;ZSM;4690022;-76929777;4;Coordenadas corresponden al corregimiento de Noanama;Palmer, M.G.;499;1908;10;16;10/16/1908;Colombia;Chocó;Medio San Juan (Andagoya);Noanama;Noanama, area;53;;1;ZSM-1909,6009;Male
Biomap;Zoologische Staatssammlung;ZSM;;1909601;340065;Calidris minutilla;ZSM;4645274;-76601145;4;Coordenadas corresponden a punto medio del Río Sipi;Palmer, M.G.;496;1908;10;3;10/03/1908;Colombia;Chocó;Sipí;Sipi Río;Sipi, rio;0;;1;ZSM-1909,601;Unknown
Biomap;Zoologische Staatssammlung;ZSM;;19096011;306203;Actitis macularius;ZSM;4690022;-76929777;4;Coordenadas corresponden al corregimiento de Noanama;Palmer, M.G.;516;1908;9;5;9/05/1908;Colombia;Chocó;Medio San Juan (Andagoya);Noanama;Noanama, area;53;;1;ZSM-1909,6011;Male
Biomap;Zoologische Staatssammlung;ZSM;;19096012;306202;Actitis macularius;ZSM;4690022;-76929777;4;Coordenadas corresponden al corregimiento de Noanama;Palmer, M.G.;516;1908;10;20;10/20/1908;Colombia;Chocó;Medio San Juan (Andagoya);Noanama;Noanama, area;53;;1;ZSM-1909,6012;Male
Biomap;Zoologische Staatssammlung;ZSM;;19096013;306229;Actitis macularius;ZSM;4645274;-76601145;4;Coordenadas corresponden a punto medio del Río Sipi;Palmer, M.G.;516;1908;9;11;9/11/1908;Colombia;Chocó;Sipí;Sipi Río;Sipi, rio;0;;1;ZSM-1909,6013;Male
Biomap;Zoologische Staatssammlung;ZSM;;19096014;306204;Actitis macularius;ZSM;4954506;-76605833;5;Coordenadas corresponden a la cabecera municipal de Nóvita;Palmer, M.G.;516;1908;12;14;12/14/1908;Colombia;Chocó;Nóvita;Nóvita;Novita, area;100;;1;ZSM-1909,6014;Unknown
Biomap;Zoologische Staatssammlung;ZSM;;19096015;408888;Gallinago delicata;ZSM;4954506;-76605833;5;Coordenadas corresponden a la cabecera municipal de Nóvita;Palmer, M.G.;509;1908;12;10;12/10/1908;Colombia;Chocó;Nóvita;Nóvita;Novita, area;100;;1;ZSM-1909,6015;Male
Biomap;Zoologische Staatssammlung;ZSM;;19096016;392316;Egretta caerulea;ZSM;4954506;-76605833;5;Coordenadas corresponden a la cabecera municipal de Nóvita;Palmer, M.G.;316;1908;12;10;12/10/1908;Colombia;Chocó;Nóvita;Nóvita;Novita, area;100;;1;ZSM-1909,6016;Male
Biomap;Zoologische Staatssammlung;ZSM;;1909602;314882;Anas cyanoptera;ZSM;4645274;-76601145;4;Coordenadas corresponden a punto medio del Río Sipi;Palmer, M.G.;85;1908;10;3;10/03/1908;Colombia;Chocó;Sipí;Sipi Río;Sipi, rio;0;;1;ZSM-1909,602;Female
Biomap;Zoologische Staatssammlung;ZSM;;19102393;604835;Setophaga petechia;ZSM;5222776;-76029963;5;Coordenada corresponde a inmediaciones de Pueblo Rico, Risaralda. Antes depto de Caldas;Palmer, M.G.;3227;1909;10;30;10/30/1909;Colombia;Risaralda;Pueblo Rico;Pueblo Rico;Pueblo Rico, area;0;;1;-;Male
Biomap;Zoologische Staatssammlung;ZSM;;19102394;604836;Setophaga petechia;ZSM;5222776;-76029963;5;Coordenada corresponde a inmediaciones de Pueblo Rico, Risaralda. Antes depto de Caldas;Palmer, M.G.;3227;1909;10;28;10/28/1909;Colombia;Risaralda;Pueblo Rico;Pueblo Rico;Pueblo Rico, area;0;;1;-;Male
Biomap;Zoologische Staatssammlung;ZSM;;19102395;604837;Setophaga petechia;ZSM;5222776;-76029963;5;Coordenada corresponde a inmediaciones de Pueblo Rico, Risaralda. Antes depto de Caldas;Palmer, M.G.;3227;1909;11;3;11/03/1909;Colombia;Risaralda;Pueblo Rico;Pueblo Rico;Pueblo Rico, area;0;;1;-;Male
Biomap;Zoologische Staatssammlung;ZSM;;19102416;625965;Mniotilta varia;ZSM;5222776;-76029963;5;Coordenada corresponde a inmediaciones de Pueblo Rico, Risaralda. Antes depto de Caldas;Palmer, M.G.;3209;1909;10;27;10/27/1909;Colombia;Risaralda;Pueblo Rico;Pueblo Rico;Pueblo Rico, area;0;;1;-;Male
Biomap;Zoologische Staatssammlung;ZSM;;19102417;625964;Mniotilta varia;ZSM;53858333;-758894444;3;Coordenada exacta de la localidad, altura132m mas alto de la registrada mas alta (1500m);Palmer, M.G.;3209;1909;10;23;10/23/1909;Colombia;Risaralda;Mistrató;Loma Hermosa;Loma Hermosa, area;0;;1;-;Female
Biomap;Zoologische Staatssammlung;ZSM;;19102418;645051;Setophaga ruticilla;ZSM;5210885;-76004863;4;Coordenada según altura e información encontrada del río Ciató;Palmer, M.G.;3219;1909;11;1;11/01/1909;Colombia;Risaralda;Pueblo Rico;Ciató, río;Siato, area;0;;1;-;Male
Biomap;Zoologische Staatssammlung;ZSM;;19102419;645050;Setophaga ruticilla;ZSM;5222776;-76029963;5;Coordenada corresponde a inmediaciones de Pueblo Rico, Risaralda. Antes depto de Caldas;Palmer, M.G.;3219;1909;9;25;9/25/1909;Colombia;Risaralda;Pueblo Rico;Pueblo Rico;Pueblo Rico, area;0;;1;-;Male
Biomap;Zoologische Staatssammlung;ZSM;;19102428;602025;Contopus sordidulus;ZSM;53858333;-758894444;3;Coordenada exacta de la localidad, altura132m mas alto de la registrada mas alta (1500m);Palmer, M.G.;2292;1909;10;22;10/22/1909;Colombia;Risaralda;Mistrató;Loma Hermosa;Loma Hermosa, area;0;KEN;1;-;Female
Biomap;Universidad de la Salle;US;;3736;660579;Vireo flavifrons;US;6197468;-75522077;3;Coordenadas corresponden al centro poblado de Santa Elena a 2740 msnm;Hno. Nicéforo, M.;2589;1917;12;22;12/22/1917;Colombia;Antioquia;Medellín;Santa Elena (2740m);Santa Elena, area;Unknown;;1;-;Unknown
Biomap;Instituto de Ciencias Naturales;ICN;Aves;5450;385717;Setophaga petechia;ICN;11915774;-71312214;4;Coordenada corresponde a la entrada de la bahía en cercanías a Puerto Lopez;Carriker, M.A., Jr.;3227;1941;4;24;4/24/1941;Colombia;La Guajira;Uribia;Tukaka bahía ;Tukakas, bahia de;0;;1;ICN-5450;Male
Biomap;Universidad de la Salle;US;;5737;660580;Vireo flavifrons;US;6197468;-75522077;3;Coordenadas corresponden al centro poblado de Santa Elena a 2740 msnm;Hno. Nicéforo, M.;2589;1917;12;22;12/22/1917;Colombia;Antioquia;Medellín;Santa Elena (2740m);Santa Elena, area;Unknown;;1;-;Unknown
Aves Colombia [310112];Cornell University Museum of Vertebrates;CUMV;CUMV-Bird;7623;453175;Tyrannus savana;CUMV;3477336;-76479408;5;Coordenadas corresponden a la ciudad de Cali;;2397;1911;5;8;5/08/1911;Colombia;Valle del Cauca;Cali;Cali ;Cali, Cauca Valley;;;1;CUMV-7623;
